sep=,
"time","metric"," "
2025-05-17 15:00:00,Student,1.12 Mil
2025-05-17 15:00:00,Unknown,35.6 K
2025-05-17 16:00:00,Member,650
2025-05-17 16:00:00,Staff,927 K
2025-05-17 16:00:00,Student,544 K
2025-05-17 16:00:00,Unknown,7.11 K
2025-05-17 17:00:00,Faculty,6.61 K
2025-05-17 17:00:00,Student,1.68 Mil
2025-05-17 17:00:00,Unknown,30.7 K
2025-05-17 18:00:00,Member,690
2025-05-17 18:00:00,Staff,1.15 K
2025-05-17 18:00:00,Student,385 K
2025-05-17 18:00:00,Unknown,18.6 K
2025-05-17 19:00:00,Faculty,19.1 K
2025-05-17 19:00:00,Staff,1.42 Mil
2025-05-17 19:00:00,Student,344 K
2025-05-17 20:00:00,Member,844
2025-05-17 20:00:00,Staff,1.23 K
2025-05-17 20:00:00,Student,1.21 Mil
2025-05-17 20:00:00,Unknown,198 K
2025-05-17 21:00:00,Member,9.95 K
2025-05-17 21:00:00,Staff,11.8 K
2025-05-17 21:00:00,Student,1.73 Mil
2025-05-17 21:00:00,Unknown,2.47 Mil
2025-05-17 22:00:00,Faculty,130 K
2025-05-17 22:00:00,Member,24.6 K
2025-05-17 22:00:00,Staff,994
2025-05-17 22:00:00,Student,920 K
2025-05-17 22:00:00,Unknown,30.0 K
2025-05-17 23:00:00,Alum,11.4 K
2025-05-17 23:00:00,Faculty,539 K
2025-05-17 23:00:00,Member,29.8 K
2025-05-17 23:00:00,Staff,7.90 K
2025-05-17 23:00:00,Student,1.52 Mil
2025-05-17 23:00:00,Unknown,2.14 K
2025-05-18 00:00:00,Alum,141 K
2025-05-18 00:00:00,Faculty,9.81 K
2025-05-18 00:00:00,Member,27.2 K
2025-05-18 00:00:00,Student,1.02 Mil
2025-05-18 00:00:00,Unknown,21.0 K
2025-05-18 01:00:00,Alum,91.9 K
2025-05-18 01:00:00,Faculty,7.20 K
2025-05-18 01:00:00,Student,213 K
2025-05-18 02:00:00,Faculty,7.04 K
2025-05-18 02:00:00,Member,47.4 K
2025-05-18 02:00:00,Student,176 K
2025-05-18 03:00:00,Member,197 K
2025-05-18 03:00:00,Student,665
2025-05-18 04:00:00,Member,27.4 K
2025-05-18 05:00:00,Member,27.3 K
2025-05-18 05:00:00,Student,66.3 K
2025-05-18 06:00:00,Student,158 K
2025-05-18 07:00:00,Faculty,52
2025-05-18 07:00:00,Staff,3.48 K
2025-05-18 07:00:00,Student,197 K
2025-05-18 07:00:00,Unknown,99.4 K
2025-05-18 08:00:00,Faculty,39.1 K
2025-05-18 08:00:00,Member,34.4 K
2025-05-18 08:00:00,Student,623 K
2025-05-18 09:00:00,Faculty,82.7 K
2025-05-18 09:00:00,Staff,56.2 K
2025-05-18 09:00:00,Student,1.21 Mil
2025-05-18 10:00:00,Alum,26.9 K
2025-05-18 10:00:00,Faculty,128 K
2025-05-18 10:00:00,Student,1.24 Mil
2025-05-18 10:00:00,Unknown,168 K
2025-05-18 11:00:00,Alum,85.5 K
2025-05-18 11:00:00,Faculty,79.5 K
2025-05-18 11:00:00,Student,798 K
2025-05-18 11:00:00,Unknown,403 K
2025-05-18 12:00:00,Faculty,99.8 K
2025-05-18 12:00:00,Member,4.05 K
2025-05-18 12:00:00,Staff,1.06 K
2025-05-18 12:00:00,Student,1.22 Mil
