sep=,
"Time","GPU 2","GPU 2","GPU 1","GPU 1","GPU 1","GPU 1","GPU 3","GPU 3","GPU 3","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 0","GPU 0","GPU 0","GPU 2","GPU 2","GPU 2","GPU 3","GPU 3","GPU 3","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 0","GPU 3","GPU 3","GPU 2","GPU 2","GPU 1","GPU 1","GPU 0","GPU 0","GPU 3","GPU 1","GPU 0","GPU 2","GPU 0","GPU 2","GPU 3","GPU 1","GPU 1","GPU 1","GPU 0","GPU 0","GPU 1","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0","GPU 0"
2025-04-24 04:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.2,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 04:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.9,,,85.1,,,,87.9,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 05:00:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.0,,,59.4,,,57.4,,86.9,,,85.2,,,,87.7,,,87.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 05:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,87.0,,,85.3,,,,88.1,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 06:00:00,,40.5,,,,39.5,,,39.5,,59.0,,39.6,,57.0,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,86.9,,,85.2,,,,87.8,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 06:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.0,,,59.9,,,57.4,,86.9,,,85.2,,,,88.0,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 07:00:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,57.9,,,58.5,,,59.9,,,57.4,,87.0,,,85.1,,,,87.9,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 07:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.0,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,87.9,,,87.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 08:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,75.9,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,88.2,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 08:30:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 09:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.5,,,58.5,,,59.9,,,57.4,,86.9,,,85.0,,,,87.9,,,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 09:30:00,,40.5,,,,39.5,,,39.1,,59.0,,39.6,,57.1,,,60.5,,,42.1,,,58.4,,,58.5,,,59.9,,,57.4,,87.0,,,85.1,,,,88.0,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-24 10:00:00,,41.0,,,,39.5,,,39.1,,59.0,,39.6,,57.0,,,60.5,,,42.6,,,57.9,,,58.5,,,59.9,,,57.4,,86.9,,,85.1,,,,89.3,,,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
